Date,kosdaq,nasdaq,dow,sp500,kospi
2021-01-04,977.62,12698.4,30223.89,3700.65,2944.45
2021-01-05,985.76,12819.0,30391.6,3726.86,2990.57
2021-01-06,981.39,12740.8,30829.4,3748.14,2968.21
2021-01-07,988.86,13067.5,31041.13,3803.79,3031.68
2021-01-08,987.79,13202.0,31097.97,3824.68,3152.18
2021-01-11,976.63,13036.4,31008.69,3799.61,3148.45
2021-01-12,973.72,13072.4,31068.69,3801.19,3125.95
2021-01-13,979.13,13129.0,31060.47,3809.84,3148.29
2021-01-14,980.29,13112.6,30991.52,3795.54,3149.93
2021-01-15,964.44,12998.5,30814.26,3768.25,3085.9
2021-01-18,944.67,13097.85,30872.39,3783.58,3013.93
2021-01-19,957.75,13197.2,30930.52,3798.91,3092.66
2021-01-20,977.66,13457.2,31188.38,3851.85,3114.55
2021-01-21,981.4,13530.9,31176.01,3853.07,3160.84
2021-01-22,979.98,13543.1,30996.98,3841.47,3140.63
2021-01-25,999.3,13636.0,30960.0,3855.36,3208.99
2021-01-26,994.0,13626.1,30937.04,3849.62,3140.31
2021-01-27,985.92,13270.6,30303.17,3750.77,3122.56
2021-01-28,961.23,13337.2,30603.36,3787.38,3069.05
2021-01-29,928.73,13070.7,29982.62,3714.24,2976.21
2021-02-01,956.92,13403.4,30211.91,3773.86,3056.53
2021-02-02,963.81,13612.8,30687.48,3826.31,3096.81
2021-02-03,970.69,13610.5,30723.6,3830.17,3129.68
2021-02-04,964.58,13777.7,31055.86,3871.74,3087.55
2021-02-05,967.42,13856.3,31148.24,3886.83,3120.63
2021-02-08,960.78,13987.6,31385.76,3915.59,3091.24
2021-02-09,957.85,14007.7,31375.83,3911.23,3084.67
2021-02-10,964.31,13972.5,31437.8,3909.88,3100.58
2021-02-11,970.1966666666666,14025.8,31430.7,3916.38,3116.0533333333333
2021-02-12,976.0833333333334,14095.5,31458.4,3934.83,3131.5266666666666
2021-02-15,981.97,14071.5,31490.575,3933.71,3147.0
