Date,BTC,Gold,NASDAQ,Oil,US10Y,US2Y
2021-01-04,36499000.0,37.1,12698.4,32.38,0.9179999999999999,0.1171
2021-01-05,37962000.0,37.18,12819.0,33.94,0.955,0.123
2021-01-06,40731000.0,36.6,12740.8,34.11,1.0390000000000001,0.1388
2021-01-07,44575000.0,36.48,13067.5,34.53,1.081,0.1408
2021-01-08,47241000.0,35.26,13202.0,35.43,1.119,0.1369
2021-01-11,40340000.0,35.16,13036.4,35.26,1.1440000000000001,0.1489
2021-01-12,38541000.0,35.36,13072.4,35.9,1.129,0.1469
2021-01-13,41403000.0,35.24,13129.0,35.8,1.092,0.145
2021-01-14,42762000.0,35.22,13112.6,36.24,1.129,0.145
2021-01-15,41045000.0,34.8,12998.5,35.34,1.087,0.135
2021-01-18,39994000.0,,,,1.1,0.137
2021-01-19,39465000.0,35.1,13197.2,35.75,1.092,0.133
2021-01-20,39277000.0,35.66,13457.2,35.79,1.077,0.129
2021-01-21,34389000.0,35.64,13530.9,35.76,1.109,0.125
2021-01-22,36365000.0,35.38,13543.1,35.23,1.0859999999999999,0.125
2021-01-25,36061000.0,35.38,13636.0,35.59,1.033,0.1209
2021-01-26,35950000.0,35.3,13626.1,35.45,1.033,0.123
2021-01-27,34315000.0,35.1,13270.6,35.5,1.013,0.1191
2021-01-28,36613000.0,35.1,13337.2,35.25,1.052,0.1211
2021-01-29,37509000.0,35.1,13070.7,35.18,1.071,0.1113
2021-02-01,36517000.0,35.42,13403.4,36.12,1.079,0.1113
2021-02-02,37878000.0,34.98,13612.8,36.82,1.095,0.1132
2021-02-03,39353000.0,34.92,13610.5,37.44,1.139,0.1191
2021-02-04,39820000.0,34.18,13777.7,37.81,1.136,0.1132
2021-02-05,40482000.0,34.54,13856.3,38.19,1.169,0.1052
2021-02-08,49150000.0,34.9,13987.6,38.94,1.176,0.1131
2021-02-09,48649000.0,34.98,14007.7,39.17,1.16,0.1171
2021-02-10,48580000.0,35.14,13972.5,39.28,1.124,0.1111
2021-02-11,,,,,,
2021-02-12,,,,,,
2021-02-15,52498000.0,,,,1.25,0.115
2021-02-16,54780000.0,34.2,14047.5,40.45,1.311,0.123
2021-02-17,57513000.0,33.84,13965.5,40.89,1.2819999999999998,0.1089
2021-02-18,57811000.0,33.82,13865.4,40.27,1.297,0.1089
2021-02-19,63502000.0,33.96,13874.5,39.68,1.34,0.1088
2021-02-22,61723000.0,34.46,13533.0,41.28,1.369,0.1149
2021-02-23,55088000.0,34.4,13465.2,41.62,1.3430000000000002,0.1109
2021-02-24,56500000.0,34.36,13598.0,42.5,1.3719999999999999,0.125
2021-02-25,53964000.0,33.72,13119.4,42.46,1.53,0.1779
2021-02-26,53588000.0,32.88,13192.3,41.31,1.4069999999999998,0.1289
2021-03-01,,,,,,
2021-03-02,55963000.0,33.02,13358.8,40.07,1.3980000000000001,0.123
2021-03-03,57841000.0,32.68,12997.8,41.14,1.484,0.1427
2021-03-04,56351000.0,32.34,12723.5,43.07,1.557,0.1467
2021-03-05,56506000.0,32.36,12920.1,44.44,1.577,0.1408
2021-03-08,59777000.0,32.04,12609.2,43.5,1.6030000000000002,0.1646
2021-03-09,62916000.0,32.72,13073.8,43.11,1.528,0.1627
2021-03-10,64151000.0,32.86,13068.8,43.74,1.521,0.1548
2021-03-11,66103000.0,32.86,13398.7,44.6,1.535,0.1429
2021-03-12,66465000.0,32.88,13319.9,44.35,1.625,0.149
2021-03-15,64429000.0,32.98,13459.7,44.26,1.607,0.153
2021-03-16,65997000.0,33.02,13471.6,43.83,1.621,0.151
2021-03-17,68346000.0,33.24,13525.2,43.82,1.646,0.137
2021-03-18,66900000.0,33.06,13116.2,40.47,1.706,0.1571
2021-03-19,67726000.0,33.22,13215.2,41.77,1.73,0.1532
2021-03-22,64453000.0,33.14,13377.5,41.71,1.695,0.1513
2021-03-23,65314000.0,32.88,13227.7,39.37,1.6219999999999999,0.1473
2021-03-24,64700000.0,33.0,12961.9,41.45,1.614,0.1504
2021-03-25,63066000.0,32.88,12977.7,39.89,1.633,0.1387
2021-03-26,65601000.0,33.0,13138.7,41.53,1.6740000000000002,0.1406
2021-03-29,68391000.0,32.6,13059.6,41.92,1.7169999999999999,0.1426
2021-03-30,70470000.0,32.04,13045.4,41.17,1.71,0.1485
2021-03-31,70974000.0,32.52,13246.9,40.53,1.744,0.1622
2021-04-01,72314000.0,32.92,13480.1,41.84,1.673,0.1624
2021-04-02,73697000.0,,,,1.673,0.162
2021-04-05,78300000.0,32.9,13705.6,40.28,1.7069999999999999,0.1704
2021-04-06,77792000.0,33.22,13698.4,40.7,1.6580000000000001,0.1625
2021-04-07,72914000.0,33.1,13688.8,40.86,1.679,0.1547
2021-04-08,75183000.0,33.46,13829.3,40.82,1.626,0.1508
2021-04-09,75642000.0,33.22,13900.2,40.64,1.662,0.1588
2021-04-12,77974000.0,33.0,13850.0,40.9,1.669,0.1688
2021-04-13,80661000.0,33.22,13996.1,41.4,1.62,0.1609
2021-04-14,80171000.0,33.1,13857.8,43.04,1.6340000000000001,0.163
2021-04-15,79425000.0,33.64,14038.8,43.27,1.574,0.161
2021-04-16,79213000.0,33.82,14052.3,43.18,1.59,0.1632
2021-04-19,71001000.0,33.74,13914.8,43.32,1.61,0.1612
2021-04-20,70289000.0,33.86,13786.3,42.74,1.5659999999999998,0.1532
2021-04-21,67805000.0,34.2,13950.2,41.77,1.5590000000000002,0.1492
2021-04-22,59500000.0,34.0,13818.4,42.09,1.5419999999999998,0.1513
2021-04-23,61380000.0,33.82,14016.8,42.46,1.5590000000000002,0.1595
2021-04-26,64196000.0,33.94,14138.8,42.33,1.568,0.1697
2021-04-27,64738000.0,33.84,14090.2,43.11,1.625,0.1818
2021-04-28,64116000.0,33.94,14051.0,43.53,1.611,0.1661
2021-04-29,63710000.0,33.8,14082.5,44.26,1.641,0.1641
2021-04-30,68075000.0,33.7,13962.7,43.27,1.626,0.1623
2021-05-03,69876000.0,34.14,13895.1,43.98,1.599,0.1624
2021-05-04,66679000.0,33.88,13633.5,44.87,1.591,0.1624
2021-05-05,,,,,,
2021-05-06,68398000.0,34.6,13632.8,44.41,1.57,0.1566
2021-05-07,68647000.0,34.9,13752.2,44.43,1.579,0.1468
2021-05-10,70731000.0,35.04,13401.9,44.48,1.604,0.1548
2021-05-11,69550000.0,35.04,13389.4,44.87,1.6219999999999999,0.1608
2021-05-12,61088000.0,34.68,13031.7,45.22,1.693,0.1668
2021-05-13,62879000.0,34.84,13125.0,43.81,1.659,0.1569
2021-05-14,61526000.0,35.12,13430.0,44.71,1.635,0.149
2021-05-17,54050000.0,35.56,13379.0,45.39,1.652,0.1551
2021-05-18,53153000.0,35.6,13303.6,44.84,1.64,0.1511
2021-05-19,,,,,,
2021-05-20,51450000.0,35.8,13535.7,42.48,1.6280000000000001,0.1472
2021-05-21,48930000.0,35.84,13471.0,43.7,1.6230000000000002,0.1553
2021-05-24,47100000.0,35.88,13661.2,45.02,1.6030000000000002,0.1513
2021-05-25,46984000.0,36.2,13657.2,44.92,1.56,0.1453
2021-05-26,47285000.0,36.14,13738.0,45.2,1.581,0.1485
2021-05-27,46514000.0,36.16,13736.3,45.55,1.6059999999999999,0.1466
2021-05-28,43641000.0,36.26,13748.7,45.42,1.581,0.1406
2021-05-31,43675000.0,,,,1.61,0.1446
2021-06-01,43208000.0,36.2,13736.5,46.33,1.6059999999999999,0.1486
2021-06-02,43720000.0,36.37,13756.3,46.9,1.589,0.1466
