Date,NASDAQ,BTC,US2YT,US10YT,Gold,Oil
2021-01-04,12698.4,36499000.0,0.1171,0.9179999999999999,37.1,32.38
2021-01-05,12819.0,37962000.0,0.123,0.955,37.18,33.94
2021-01-06,12740.8,40731000.0,0.1388,1.0390000000000001,36.6,34.11
2021-01-07,13067.5,44575000.0,0.1408,1.081,36.48,34.53
2021-01-08,13202.0,47241000.0,0.1369,1.119,35.26,35.43
2021-01-11,13036.4,40340000.0,0.1489,1.1440000000000001,35.16,35.26
2021-01-12,13072.4,38541000.0,0.1469,1.129,35.36,35.9
2021-01-13,13129.0,41403000.0,0.145,1.092,35.24,35.8
2021-01-14,13112.6,42762000.0,0.145,1.129,35.22,36.24
2021-01-15,12998.5,41045000.0,0.135,1.087,34.8,35.34
2021-01-18,,39994000.0,0.137,1.1,,
2021-01-19,13197.2,39465000.0,0.133,1.092,35.1,35.75
2021-01-20,13457.2,39277000.0,0.129,1.077,35.66,35.79
2021-01-21,13530.9,34389000.0,0.125,1.109,35.64,35.76
2021-01-22,13543.1,36365000.0,0.125,1.0859999999999999,35.38,35.23
2021-01-25,13636.0,36061000.0,0.1209,1.033,35.38,35.59
2021-01-26,13626.1,35950000.0,0.123,1.033,35.3,35.45
2021-01-27,13270.6,34315000.0,0.1191,1.013,35.1,35.5
2021-01-28,13337.2,36613000.0,0.1211,1.052,35.1,35.25
2021-01-29,13070.7,37509000.0,0.1113,1.071,35.1,35.18
2021-02-01,13403.4,36517000.0,0.1113,1.079,35.42,36.12
2021-02-02,13612.8,37878000.0,0.1132,1.095,34.98,36.82
2021-02-03,13610.5,39353000.0,0.1191,1.139,34.92,37.44
2021-02-04,13777.7,39820000.0,0.1132,1.136,34.18,37.81
2021-02-05,13856.3,40482000.0,0.1052,1.169,34.54,38.19
2021-02-08,13987.6,49150000.0,0.1131,1.176,34.9,38.94
2021-02-09,14007.7,48649000.0,0.1171,1.16,34.98,39.17
2021-02-10,13972.5,48580000.0,0.1111,1.124,35.14,39.28
2021-02-11,,,,,,
2021-02-12,,,,,,
2021-02-15,,52498000.0,0.115,1.25,,
2021-02-16,14047.5,54780000.0,0.123,1.311,34.2,40.45
2021-02-17,13965.5,57513000.0,0.1089,1.2819999999999998,33.84,40.89
2021-02-18,13865.4,57811000.0,0.1089,1.297,33.82,40.27
2021-02-19,13874.5,63502000.0,0.1088,1.34,33.96,39.68
2021-02-22,13533.0,61723000.0,0.1149,1.369,34.46,41.28
2021-02-23,13465.2,55088000.0,0.1109,1.3430000000000002,34.4,41.62
2021-02-24,13598.0,56500000.0,0.125,1.3719999999999999,34.36,42.5
2021-02-25,13119.4,53964000.0,0.1779,1.53,33.72,42.46
2021-02-26,13192.3,53588000.0,0.1289,1.4069999999999998,32.88,41.31
2021-03-01,,,,,,
2021-03-02,13358.8,55963000.0,0.123,1.3980000000000001,33.02,40.07
2021-03-03,12997.8,57841000.0,0.1427,1.484,32.68,41.14
2021-03-04,12723.5,56351000.0,0.1467,1.557,32.34,43.07
2021-03-05,12920.1,56506000.0,0.1408,1.577,32.36,44.44
2021-03-08,12609.2,59777000.0,0.1646,1.6030000000000002,32.04,43.5
2021-03-09,13073.8,62916000.0,0.1627,1.528,32.72,43.11
2021-03-10,13068.8,64151000.0,0.1548,1.521,32.86,43.74
2021-03-11,13398.7,66103000.0,0.1429,1.535,32.86,44.6
2021-03-12,13319.9,66465000.0,0.149,1.625,32.88,44.35
2021-03-15,13459.7,64429000.0,0.153,1.607,32.98,44.26
2021-03-16,13471.6,65997000.0,0.151,1.621,33.02,43.83
2021-03-17,13525.2,68346000.0,0.137,1.646,33.24,43.82
2021-03-18,13116.2,66900000.0,0.1571,1.706,33.06,40.47
2021-03-19,13215.2,67726000.0,0.1532,1.73,33.22,41.77
2021-03-22,13377.5,64453000.0,0.1513,1.695,33.14,41.71
2021-03-23,13227.7,65314000.0,0.1473,1.6219999999999999,32.88,39.37
2021-03-24,12961.9,64700000.0,0.1504,1.614,33.0,41.45
2021-03-25,12977.7,63066000.0,0.1387,1.633,32.88,39.89
2021-03-26,13138.7,65601000.0,0.1406,1.6740000000000002,33.0,41.53
2021-03-29,13059.6,68391000.0,0.1426,1.7169999999999999,32.6,41.92
2021-03-30,13045.4,70470000.0,0.1485,1.71,32.04,41.17
2021-03-31,13246.9,70974000.0,0.1622,1.744,32.52,40.53
2021-04-01,13480.1,72314000.0,0.1624,1.673,32.92,41.84
2021-04-02,,73697000.0,0.162,1.673,,
2021-04-05,13705.6,78300000.0,0.1704,1.7069999999999999,32.9,40.28
2021-04-06,13698.4,77792000.0,0.1625,1.6580000000000001,33.22,40.7
2021-04-07,13688.8,72914000.0,0.1547,1.679,33.1,40.86
2021-04-08,13829.3,75183000.0,0.1508,1.626,33.46,40.82
2021-04-09,13900.2,75642000.0,0.1588,1.662,33.22,40.64
2021-04-12,13850.0,77974000.0,0.1688,1.669,33.0,40.9
2021-04-13,13996.1,80661000.0,0.1609,1.62,33.22,41.4
2021-04-14,13857.8,80171000.0,0.163,1.6340000000000001,33.1,43.04
2021-04-15,14038.8,79425000.0,0.161,1.574,33.64,43.27
2021-04-16,14052.3,79213000.0,0.1632,1.59,33.82,43.18
2021-04-19,13914.8,71001000.0,0.1612,1.61,33.74,43.32
2021-04-20,13786.3,70289000.0,0.1532,1.5659999999999998,33.86,42.74
2021-04-21,13950.2,67805000.0,0.1492,1.5590000000000002,34.2,41.77
2021-04-22,13818.4,59500000.0,0.1513,1.5419999999999998,34.0,42.09
2021-04-23,14016.8,61380000.0,0.1595,1.5590000000000002,33.82,42.46
2021-04-26,14138.8,64196000.0,0.1697,1.568,33.94,42.33
2021-04-27,14090.2,64738000.0,0.1818,1.625,33.84,43.11
2021-04-28,14051.0,64116000.0,0.1661,1.611,33.94,43.53
2021-04-29,14082.5,63710000.0,0.1641,1.641,33.8,44.26
2021-04-30,13962.7,68075000.0,0.1623,1.626,33.7,43.27
2021-05-03,13895.1,69876000.0,0.1624,1.599,34.14,43.98
2021-05-04,13633.5,66679000.0,0.1624,1.591,33.88,44.87
2021-05-05,,,,,,
2021-05-06,13632.8,68398000.0,0.1566,1.57,34.6,44.41
2021-05-07,13752.2,68647000.0,0.1468,1.579,34.9,44.43
2021-05-10,13401.9,70731000.0,0.1548,1.604,35.04,44.48
2021-05-11,13389.4,69550000.0,0.1608,1.6219999999999999,35.04,44.87
2021-05-12,13031.7,61088000.0,0.1668,1.693,34.68,45.22
2021-05-13,13125.0,62879000.0,0.1569,1.659,34.84,43.81
2021-05-14,13430.0,61526000.0,0.149,1.635,35.12,44.71
2021-05-17,13379.0,54050000.0,0.1551,1.652,35.56,45.39
2021-05-18,13303.6,53153000.0,0.1511,1.64,35.6,44.84
2021-05-19,,,,,,
2021-05-20,13535.7,51450000.0,0.1472,1.6280000000000001,35.8,42.48
2021-05-21,13471.0,48930000.0,0.1553,1.6230000000000002,35.84,43.7
2021-05-24,13661.2,47100000.0,0.1513,1.6030000000000002,35.88,45.02
2021-05-25,13657.2,46984000.0,0.1453,1.56,36.2,44.92
2021-05-26,13738.0,47285000.0,0.1485,1.581,36.14,45.2
2021-05-27,13736.3,46514000.0,0.1466,1.6059999999999999,36.16,45.55
2021-05-28,13748.7,43641000.0,0.1406,1.581,36.26,45.42
2021-05-31,,43675000.0,0.1446,1.61,,
2021-06-01,13736.5,43208000.0,0.1486,1.6059999999999999,36.2,46.33
2021-06-02,13756.3,43720000.0,0.1466,1.589,36.37,46.9
2021-06-03,13614.5,45440000.0,0.1584,1.625,35.64,46.97
2021-06-04,13814.5,42973000.0,0.1487,1.557,36.04,47.26
2021-06-07,13881.7,38953000.0,0.1567,1.569,36.19,47.27
2021-06-08,13924.9,38531000.0,0.1547,1.538,36.07,47.88
2021-06-09,13911.8,43259000.0,0.1567,1.492,36.01,47.58
