Date,weekday,weeknum,kosdaq,nasdaq,sp500,dow,kospi,code,Close
2021-10-25,0,43,994.31,15226.7,4566.48,35743.78,3020.54,005930,70200.0
2021-10-26,1,43,1011.76,15235.7,4574.79,35755.83,3049.08,005930,71100.0
2021-10-27,2,43,1008.95,15235.8,4551.68,35491.48,3025.49,005930,70100.0
2021-10-28,3,43,1000.13,15448.1,4596.42,35729.89,3009.55,005930,70700.0
2021-10-29,4,43,992.33,15498.4,4605.38,35819.59,2970.68,005930,69800.0
2021-11-01,0,44,998.57,15595.9,4613.67,35913.68,2978.94,005930,69900.0
2021-11-02,1,44,1009.44,15649.6,4630.65,36053.09,3013.49,005930,71500.0
2021-11-03,2,44,1005.0,15811.6,4660.57,36157.02,2975.71,005930,70400.0
2021-11-04,3,44,1001.43,15940.3,4680.06,36124.66,2983.22,005930,70600.0
2021-11-05,4,44,1001.35,15971.6,4697.53,36329.07,2969.27,005930,70200.0
2021-11-08,0,45,1002.5,15982.4,4701.7,36431.39,2960.2,005930,70600.0
2021-11-09,1,45,1008.68,15886.5,4685.25,36320.5,2962.46,005930,70500.0
2021-11-10,2,45,987.75,15622.7,4646.71,36079.54,2930.17,005930,70200.0
2021-11-11,3,45,992.65,15704.3,4649.27,35921.24,2924.92,005930,69900.0
2021-11-12,4,45,1009.07,15861.0,4682.85,36100.37,2968.8,005930,70600.0
2021-11-15,0,46,1029.03,15853.8,4682.81,36087.98,2999.52,005930,71400.0
2021-11-16,1,46,1035.46,15973.9,4700.9,36144.13,2997.21,005930,71300.0
2021-11-17,2,46,1031.26,15921.6,4688.67,35931.52,2962.42,005930,70700.0
2021-11-18,3,46,1032.77,15993.7,4706.64,35871.34,2947.38,005930,70200.0
2021-11-19,4,46,1041.92,16057.4,4697.96,35602.18,2971.02,005930,71200.0
2021-10-25,0,43,994.31,15226.7,4566.48,35743.78,3020.54,000660,100000.0
2021-10-26,1,43,1011.76,15235.7,4574.79,35755.83,3049.08,000660,102000.0
2021-10-27,2,43,1008.95,15235.8,4551.68,35491.48,3025.49,000660,101500.0
2021-10-28,3,43,1000.13,15448.1,4596.42,35729.89,3009.55,000660,106500.0
2021-10-29,4,43,992.33,15498.4,4605.38,35819.59,2970.68,000660,103000.0
2021-11-01,0,44,998.57,15595.9,4613.67,35913.68,2978.94,000660,106500.0
2021-11-02,1,44,1009.44,15649.6,4630.65,36053.09,3013.49,000660,107500.0
2021-11-03,2,44,1005.0,15811.6,4660.57,36157.02,2975.71,000660,105500.0
2021-11-04,3,44,1001.43,15940.3,4680.06,36124.66,2983.22,000660,106000.0
2021-11-05,4,44,1001.35,15971.6,4697.53,36329.07,2969.27,000660,107000.0
2021-11-08,0,45,1002.5,15982.4,4701.7,36431.39,2960.2,000660,107500.0
2021-11-09,1,45,1008.68,15886.5,4685.25,36320.5,2962.46,000660,109000.0
2021-11-10,2,45,987.75,15622.7,4646.71,36079.54,2930.17,000660,108500.0
2021-11-11,3,45,992.65,15704.3,4649.27,35921.24,2924.92,000660,107500.0
2021-11-12,4,45,1009.07,15861.0,4682.85,36100.37,2968.8,000660,106500.0
2021-11-15,0,46,1029.03,15853.8,4682.81,36087.98,2999.52,000660,111000.0
2021-11-16,1,46,1035.46,15973.9,4700.9,36144.13,2997.21,000660,112000.0
2021-11-17,2,46,1031.26,15921.6,4688.67,35931.52,2962.42,000660,110500.0
2021-11-18,3,46,1032.77,15993.7,4706.64,35871.34,2947.38,000660,110000.0
2021-11-19,4,46,1041.92,16057.4,4697.96,35602.18,2971.02,000660,111500.0
2021-10-25,0,43,994.31,15226.7,4566.48,35743.78,3020.54,035420,402500.0
2021-10-26,1,43,1011.76,15235.7,4574.79,35755.83,3049.08,035420,412500.0
2021-10-27,2,43,1008.95,15235.8,4551.68,35491.48,3025.49,035420,414500.0
2021-10-28,3,43,1000.13,15448.1,4596.42,35729.89,3009.55,035420,413000.0
2021-10-29,4,43,992.33,15498.4,4605.38,35819.59,2970.68,035420,407000.0
2021-11-01,0,44,998.57,15595.9,4613.67,35913.68,2978.94,035420,408500.0
2021-11-02,1,44,1009.44,15649.6,4630.65,36053.09,3013.49,035420,410000.0
2021-11-03,2,44,1005.0,15811.6,4660.57,36157.02,2975.71,035420,402500.0
2021-11-04,3,44,1001.43,15940.3,4680.06,36124.66,2983.22,035420,411500.0
2021-11-05,4,44,1001.35,15971.6,4697.53,36329.07,2969.27,035420,410500.0
2021-11-08,0,45,1002.5,15982.4,4701.7,36431.39,2960.2,035420,408000.0
2021-11-09,1,45,1008.68,15886.5,4685.25,36320.5,2962.46,035420,417500.0
2021-11-10,2,45,987.75,15622.7,4646.71,36079.54,2930.17,035420,414500.0
2021-11-11,3,45,992.65,15704.3,4649.27,35921.24,2924.92,035420,407000.0
2021-11-12,4,45,1009.07,15861.0,4682.85,36100.37,2968.8,035420,409000.0
2021-11-15,0,46,1029.03,15853.8,4682.81,36087.98,2999.52,035420,411000.0
2021-11-16,1,46,1035.46,15973.9,4700.9,36144.13,2997.21,035420,405500.0
2021-11-17,2,46,1031.26,15921.6,4688.67,35931.52,2962.42,035420,401000.0
2021-11-18,3,46,1032.77,15993.7,4706.64,35871.34,2947.38,035420,407000.0
2021-11-19,4,46,1041.92,16057.4,4697.96,35602.18,2971.02,035420,404000.0
2021-10-25,0,43,994.31,15226.7,4566.48,35743.78,3020.54,035720,126000.0
2021-10-26,1,43,1011.76,15235.7,4574.79,35755.83,3049.08,035720,127500.0
2021-10-27,2,43,1008.95,15235.8,4551.68,35491.48,3025.49,035720,128500.0
2021-10-28,3,43,1000.13,15448.1,4596.42,35729.89,3009.55,035720,125500.0
2021-10-29,4,43,992.33,15498.4,4605.38,35819.59,2970.68,035720,125500.0
2021-11-01,0,44,998.57,15595.9,4613.67,35913.68,2978.94,035720,125500.0
2021-11-02,1,44,1009.44,15649.6,4630.65,36053.09,3013.49,035720,128000.0
2021-11-03,2,44,1005.0,15811.6,4660.57,36157.02,2975.71,035720,124500.0
2021-11-04,3,44,1001.43,15940.3,4680.06,36124.66,2983.22,035720,130000.0
2021-11-05,4,44,1001.35,15971.6,4697.53,36329.07,2969.27,035720,128500.0
2021-11-08,0,45,1002.5,15982.4,4701.7,36431.39,2960.2,035720,125000.0
2021-11-09,1,45,1008.68,15886.5,4685.25,36320.5,2962.46,035720,125500.0
2021-11-10,2,45,987.75,15622.7,4646.71,36079.54,2930.17,035720,124000.0
2021-11-11,3,45,992.65,15704.3,4649.27,35921.24,2924.92,035720,125500.0
2021-11-12,4,45,1009.07,15861.0,4682.85,36100.37,2968.8,035720,127000.0
2021-11-15,0,46,1029.03,15853.8,4682.81,36087.98,2999.52,035720,129000.0
2021-11-16,1,46,1035.46,15973.9,4700.9,36144.13,2997.21,035720,127500.0
2021-11-17,2,46,1031.26,15921.6,4688.67,35931.52,2962.42,035720,125000.0
2021-11-18,3,46,1032.77,15993.7,4706.64,35871.34,2947.38,035720,124500.0
2021-11-19,4,46,1041.92,16057.4,4697.96,35602.18,2971.02,035720,127000.0
2021-10-25,0,43,994.31,15226.7,4566.48,35743.78,3020.54,207940,877000.0
2021-10-26,1,43,1011.76,15235.7,4574.79,35755.83,3049.08,207940,879000.0
2021-10-27,2,43,1008.95,15235.8,4551.68,35491.48,3025.49,207940,898000.0
2021-10-28,3,43,1000.13,15448.1,4596.42,35729.89,3009.55,207940,886000.0
2021-10-29,4,43,992.33,15498.4,4605.38,35819.59,2970.68,207940,871000.0
2021-11-01,0,44,998.57,15595.9,4613.67,35913.68,2978.94,207940,874000.0
2021-11-02,1,44,1009.44,15649.6,4630.65,36053.09,3013.49,207940,874000.0
2021-11-03,2,44,1005.0,15811.6,4660.57,36157.02,2975.71,207940,874000.0
2021-11-04,3,44,1001.43,15940.3,4680.06,36124.66,2983.22,207940,865000.0
2021-11-05,4,44,1001.35,15971.6,4697.53,36329.07,2969.27,207940,864000.0
2021-11-08,0,45,1002.5,15982.4,4701.7,36431.39,2960.2,207940,823000.0
2021-11-09,1,45,1008.68,15886.5,4685.25,36320.5,2962.46,207940,826000.0
2021-11-10,2,45,987.75,15622.7,4646.71,36079.54,2930.17,207940,820000.0
2021-11-11,3,45,992.65,15704.3,4649.27,35921.24,2924.92,207940,819000.0
2021-11-12,4,45,1009.07,15861.0,4682.85,36100.37,2968.8,207940,833000.0
2021-11-15,0,46,1029.03,15853.8,4682.81,36087.98,2999.52,207940,864000.0
2021-11-16,1,46,1035.46,15973.9,4700.9,36144.13,2997.21,207940,872000.0
2021-11-17,2,46,1031.26,15921.6,4688.67,35931.52,2962.42,207940,850000.0
2021-11-18,3,46,1032.77,15993.7,4706.64,35871.34,2947.38,207940,841000.0
2021-11-19,4,46,1041.92,16057.4,4697.96,35602.18,2971.02,207940,892000.0
2021-10-25,0,43,994.31,15226.7,4566.48,35743.78,3020.54,005935,63800.0
2021-10-26,1,43,1011.76,15235.7,4574.79,35755.83,3049.08,005935,65000.0
