iter	RMSE
0	7170.90335
1	7058.625258
2	6950.569937
3	6834.960667
4	6712.961132
5	6632.01438
6	6517.053969
7	6396.743404
8	6291.391004
9	6180.303044
10	6086.912597
11	5988.669798
12	5907.890002
13	5813.721505
14	5722.333879
15	5640.660982
16	5561.855194
17	5474.122701
18	5392.293458
19	5315.362196
20	5230.649853
21	5141.377139
22	5083.857366
23	5008.426507
24	4933.660759
25	4888.274993
26	4823.018388
27	4755.93475
28	4700.679429
29	4642.394915
30	4600.669371
31	4545.640654
32	4494.709801
33	4429.136851
34	4374.51941
35	4311.422956
36	4263.878634
37	4203.160551
38	4153.45638
39	4112.255485
40	4077.224224
41	4030.099337
42	3991.007524
43	3940.510515
44	3887.461861
45	3837.811183
46	3791.00229
47	3755.539819
48	3727.553616
49	3683.962082
50	3636.466619
51	3601.719365
52	3570.394579
53	3530.012941
54	3501.778746
55	3469.920818
56	3435.591982
57	3385.818945
58	3353.145375
59	3322.690391
60	3289.090164
61	3256.404986
62	3219.459555
63	3195.523757
64	3162.948082
65	3136.26658
66	3109.160828
67	3082.369334
68	3057.620527
69	3027.776493
70	3006.037685
71	2974.681379
72	2952.48442
73	2927.789059
74	2897.836241
75	2872.380785
76	2850.846794
77	2835.074227
78	2820.233488
79	2786.400366
80	2769.590883
81	2739.434256
82	2714.246079
83	2691.86343
84	2669.903017
85	2642.330078
86	2624.142608
87	2603.218263
88	2584.137257
89	2564.003487
90	2546.970301
91	2526.926952
92	2507.675923
93	2492.025925
94	2471.576465
95	2449.319144
96	2434.630875
97	2415.654917
98	2401.190592
99	2382.555275
100	2365.807718
101	2351.294499
102	2340.138657
103	2325.702987
104	2303.898348
105	2285.320561
106	2268.347336
107	2252.656382
108	2241.155184
109	2232.832995
110	2213.713398
111	2205.59885
112	2192.57839
113	2177.86171
114	2167.676351
115	2158.890237
116	2148.187976
117	2133.470319
118	2123.713824
119	2114.456508
120	2103.496672
121	2093.387179
122	2089.326195
123	2077.75437
124	2067.690613
125	2056.222978
126	2047.929681
127	2037.786577
128	2025.395696
129	2012.323184
130	2002.682326
131	1993.061939
132	1985.921815
133	1975.793819
134	1966.862221
135	1958.937184
136	1953.275315
137	1947.984029
138	1940.023001
139	1930.162841
140	1920.22722
141	1913.396733
142	1903.548105
143	1892.773302
144	1885.571696
145	1877.847238
146	1869.82088
147	1863.2467
148	1858.471229
149	1848.326807
150	1840.06043
151	1828.738884
152	1822.442258
153	1812.967969
154	1802.980376
155	1796.774837
156	1788.520723
157	1782.919467
158	1777.766477
159	1771.176587
160	1767.348268
161	1762.851625
162	1755.934191
163	1748.108372
164	1742.117217
165	1737.444812
166	1729.792078
167	1723.257819
168	1714.498916
169	1707.926184
170	1700.8718
171	1695.333707
172	1688.061055
173	1683.600186
174	1676.471365
175	1669.787457
176	1659.948041
177	1656.105506
178	1650.309892
179	1644.5179
180	1636.094227
181	1630.119385
182	1625.485012
183	1619.588783
184	1613.082762
185	1606.284967
186	1601.593178
187	1595.261879
188	1589.163723
189	1582.721037
190	1574.684629
191	1567.822876
192	1563.010247
193	1558.618575
194	1554.054785
195	1546.8128
196	1540.401482
197	1535.582779
198	1527.465115
199	1522.359392
200	1518.952429
201	1512.13255
202	1505.541093
203	1500.493195
204	1496.85596
205	1489.669752
206	1483.639674
207	1478.781371
208	1475.647945
209	1468.811557
210	1462.675394
211	1457.682815
212	1452.203823
213	1447.40527
214	1439.384489
215	1435.191519
216	1430.904533
217	1425.369724
218	1419.91433
219	1412.105539
220	1406.924498
221	1402.568519
222	1398.678366
223	1392.659012
224	1390.266412
225	1387.02711
226	1382.913607
227	1377.508132
228	1371.336427
229	1367.65451
230	1363.125743
231	1358.627271
232	1354.521455
233	1349.83898
234	1345.480718
235	1338.807153
236	1335.787065
237	1333.242621
238	1329.955065
239	1325.777676
240	1320.436004
241	1314.343341
242	1311.67027
243	1308.331242
244	1302.32715
245	1299.755167
246	1294.884395
247	1290.168699
248	1285.575245
249	1283.220389
250	1279.523282
251	1277.444687
252	1273.842727
253	1268.168219
254	1264.206551
255	1262.075067
256	1258.898007
257	1255.182728
258	1251.610084
259	1249.462141
260	1247.342996
261	1242.567417
262	1238.875729
263	1235.379159
264	1232.631929
265	1231.000665
266	1227.946352
267	1226.073552
268	1224.324142
269	1223.068905
270	1221.321184
271	1218.070251
272	1216.466267
273	1214.828397
274	1213.166485
275	1211.527838
276	1209.951504
277	1207.604617
278	1203.732641
279	1199.279352
280	1194.036985
281	1189.927762
282	1186.467154
283	1181.175534
284	1177.475086
285	1174.638174
286	1173.804419
287	1170.274463
288	1169.46168
289	1168.293471
290	1167.696253
291	1162.884347
292	1162.110007
293	1159.359569
294	1154.881172
295	1152.910711
296	1149.955374
297	1149.228328
298	1144.784706
299	1144.117808
300	1141.753104
301	1139.382547
302	1134.367064
303	1130.671757
304	1125.792332
305	1123.651723
306	1122.902847
307	1118.368389
308	1114.963206
309	1112.178031
310	1108.018099
311	1105.159302
312	1102.395553
313	1099.928662
314	1098.187821
315	1095.804896
316	1094.626951
317	1091.416733
318	1088.615211
319	1084.310785
320	1081.999924
321	1077.568189
322	1074.997558
323	1072.467011
324	1071.735269
325	1068.957336
326	1066.433707
327	1062.579074
328	1061.912825
329	1057.791107
330	1056.983853
331	1053.557002
332	1051.039434
333	1047.41509
334	1044.020954
335	1040.460742
336	1040.030288
337	1037.639093
338	1033.955533
339	1030.423121
340	1028.125446
341	1026.344942
342	1025.92644
343	1021.92011
344	1018.770193
345	1016.288438
346	1013.483531
347	1012.828686
348	1010.709421
349	1010.087585
350	1007.340671
351	1005.023371
352	1001.402976
353	998.0414959
354	997.6541635
355	996.3217834
356	994.5695551
357	991.2191138
358	988.3424758
359	987.6969913
360	984.2151637
361	981.1720339
362	978.0533049
363	975.9011853
364	974.2994085
365	971.4629009
366	970.828962
367	970.4629204
368	969.8508794
369	969.2782079
370	966.1511531
371	962.5421672
372	959.3148041
373	956.0579057
374	955.5691329
375	953.8291541
376	952.1278096
377	951.5766967
378	949.2036121
379	948.8943419
380	946.2336481
381	944.725773
382	942.3569189
383	941.9811846
384	940.5864564
385	938.2317343
386	936.0744124
387	935.1832166
388	933.2599549
389	929.9863739
390	927.6401799
391	925.407244
392	923.7208134
393	923.3616502
394	920.3783272
395	917.5918652
396	916.2374256
397	915.8006092
398	913.9880894
399	913.1546598
400	911.1766581
401	908.7043105
402	905.5125276
403	903.6970828
404	903.3879313
405	901.6938187
406	900.5763108
407	899.4462297
408	897.1375867
409	896.8555674
410	893.7349919
411	892.9065696
412	891.8812949
413	888.8566865
414	887.1299554
415	884.4741599
416	884.0768916
417	882.7032949
418	880.579197
419	879.6345413
420	879.3662233
421	876.839855
422	873.2441995
423	871.7794969
424	871.1611029
425	869.3214805
426	866.7643614
427	865.7544107
428	863.5411686
429	861.8620538
430	861.4921657
431	858.9660365
432	857.5849795
433	855.9313882
434	855.6966525
435	855.4419486
436	855.2225868
437	854.5785353
438	854.3144048
439	853.6653927
440	853.0129967
441	852.1867721
442	849.8403587
443	847.9800295
444	845.6629532
445	842.8534342
446	840.5243118
447	837.1226359
448	836.4976628
449	836.1542963
450	833.5962469
451	832.3252304
452	831.1177521
453	830.6861706
454	828.827233
455	826.7202348
456	825.2116729
457	824.0319544
458	822.7024943
459	820.2548518
460	819.9151991
461	817.9294532
462	815.9840015
463	814.3500086
464	811.9715481
465	809.7174274
466	808.4654575
467	806.9527806
468	804.9141062
469	803.4555477
470	801.4605362
471	799.5774091
472	798.6534214
473	797.7650163
474	796.7538436
475	794.7866753
476	792.5576592
477	792.332046
478	790.0566941
479	789.6533856
480	789.2546797
481	788.9351122
482	786.6320581
483	784.6189329
484	783.085247
485	782.6096298
486	781.443327
487	779.1113103
488	776.3177904
489	775.1216574
490	774.3292978
