iter	Passed	Remaining
0	1	1585
1	3	1508
2	4	1469
3	5	1445
4	7	1427
5	8	1414
6	9	1401
7	11	1395
8	12	1397
9	14	1474
10	16	1469
11	17	1471
12	19	1465
13	20	1455
14	21	1424
15	23	1421
16	24	1401
17	25	1398
18	27	1400
19	28	1402
20	30	1428
21	32	1426
22	33	1421
23	34	1416
24	36	1413
25	37	1408
26	38	1404
27	39	1376
28	41	1373
29	42	1375
30	43	1374
31	45	1378
32	47	1379
33	48	1378
34	49	1375
35	50	1364
36	52	1362
37	53	1360
38	55	1358
39	56	1360
40	58	1359
41	59	1357
42	61	1362
43	62	1361
44	64	1361
45	65	1358
46	66	1356
47	68	1353
48	69	1351
49	71	1350
50	72	1350
51	73	1338
52	74	1336
53	76	1340
54	78	1340
55	79	1338
56	80	1337
57	82	1334
58	83	1332
59	84	1322
60	85	1321
61	87	1319
62	88	1318
63	89	1316
64	91	1314
65	92	1315
66	94	1313
67	95	1313
68	96	1303
69	98	1303
70	98	1294
71	100	1295
72	101	1294
73	103	1292
74	103	1281
75	105	1279
76	106	1278
77	108	1281
78	109	1272
79	110	1270
80	111	1269
81	113	1268
82	114	1263
83	115	1262
84	117	1261
85	118	1259
86	119	1258
87	121	1257
88	123	1259
89	124	1259
90	126	1258
91	127	1257
92	128	1256
93	130	1254
94	131	1253
95	133	1252
96	134	1251
97	135	1249
98	137	1248
99	138	1249
100	140	1248
101	141	1244
102	142	1243
103	144	1242
104	145	1240
105	146	1239
106	148	1237
107	149	1236
108	151	1234
109	152	1234
110	154	1234
111	155	1234
112	157	1232
113	158	1231
114	159	1230
115	161	1228
116	162	1227
117	164	1226
118	165	1223
119	165	1216
120	167	1214
121	168	1213
122	170	1214
123	171	1214
124	173	1212
125	174	1211
126	191	1314
127	192	1313
128	194	1311
129	195	1309
130	196	1306
131	198	1304
132	199	1302
133	201	1300
134	202	1300
135	204	1298
136	205	1295
137	207	1293
138	208	1292
139	209	1289
140	211	1287
141	212	1285
142	214	1283
143	215	1281
144	216	1279
145	218	1278
146	220	1277
147	221	1275
148	223	1273
149	224	1271
150	225	1269
151	226	1263
152	227	1260
153	229	1258
154	230	1256
155	231	1254
156	233	1254
157	235	1253
158	237	1253
159	238	1251
160	239	1249
161	241	1247
162	243	1248
163	244	1247
164	246	1246
165	248	1247
166	249	1246
167	251	1245
168	252	1242
169	254	1240
170	255	1237
171	256	1235
172	257	1233
173	259	1231
174	260	1227
175	261	1225
176	263	1223
177	265	1223
178	266	1221
179	267	1219
180	269	1217
181	270	1214
182	271	1212
183	272	1210
184	274	1208
185	275	1206
186	277	1204
187	278	1202
188	280	1202
189	281	1200
190	283	1199
191	284	1197
192	285	1195
193	287	1193
194	288	1191
195	289	1189
196	291	1187
197	292	1185
198	294	1184
199	295	1183
200	297	1181
201	298	1179
202	299	1177
203	301	1175
204	302	1174
205	304	1172
206	305	1170
207	306	1168
208	308	1167
209	309	1165
210	311	1164
211	312	1163
212	314	1161
213	315	1159
214	317	1157
215	318	1155
216	319	1153
217	321	1152
218	322	1150
219	324	1149
220	325	1147
221	327	1146
222	328	1144
223	329	1142
224	331	1140
225	332	1139
226	334	1137
227	335	1136
228	337	1135
229	339	1135
230	340	1133
231	342	1134
232	344	1133
233	346	1132
234	347	1131
235	348	1129
236	350	1127
237	351	1126
238	353	1124
239	354	1123
240	356	1121
241	358	1122
242	359	1121
243	361	1119
244	363	1118
245	364	1117
246	366	1117
247	368	1116
248	369	1115
249	371	1114
250	373	1115
251	375	1113
252	376	1112
253	378	1111
254	380	1110
255	381	1109
256	383	1108
257	384	1106
258	386	1105
259	388	1105
260	390	1105
261	391	1104
262	393	1102
263	395	1101
264	396	1100
265	398	1099
266	399	1097
267	401	1096
268	403	1096
269	405	1095
270	407	1094
271	408	1093
272	410	1092
273	411	1091
274	413	1090
275	415	1088
276	416	1087
277	419	1088
278	420	1087
