Date,kospi,kosdaq,dow,nasdaq,sp500,code,close
2021-08-30,3144.19,1031.84,35399.84,15265.9,4528.79,005930,74600
2021-08-31,3199.27,1038.33,35360.73,15259.2,4522.68,005930,76700
2021-09-01,3207.02,1045.98,35312.53,15309.4,4524.09,005930,76800
2021-09-02,3175.85,1047.19,35443.82,15331.2,4536.95,005930,76000
2021-09-03,3201.06,1053.85,35369.09,15363.5,4535.43,005930,76600
2021-09-06,3203.33,1052.96,35234.545,15368.9,4527.73,005930,77300
2021-09-07,3187.42,1054.43,35100.0,15374.3,4520.03,005930,76100
2021-09-08,3162.99,1037.22,35031.07,15286.6,4514.07,005930,76300
2021-09-09,3114.7,1034.62,34879.38,15248.3,4493.28,005930,75300
2021-09-10,3125.76,1037.91,34607.72,15115.5,4458.58,005930,75300
2021-09-13,3127.86,1026.34,34869.63,15105.6,4468.73,005930,76300
2021-09-14,3148.83,1037.74,34577.57,15037.8,4443.05,005930,76600
2021-09-15,3153.4,1042.79,34814.39,15161.5,4480.7,005930,77000
2021-09-16,3130.09,1039.43,34751.32,15181.9,4473.76,005930,76100
2021-09-17,3140.51,1046.12,34584.88,15044.0,4432.99,005930,77200
2021-09-23,3127.58,1036.26,34766.0,15052.2,4448.98,005930,77400
2021-09-24,3125.24,1037.03,34797.6,15047.7,4455.48,005930,77300
2021-09-27,3133.64,1034.82,34870.16,14970.0,4443.11,005930,77700
2021-09-28,3097.92,1012.51,34299.53,14546.7,4352.63,005930,76300
2021-09-29,3060.27,1001.46,34390.92,14512.4,4359.46,005930,74100
2021-09-30,3068.82,1003.27,33843.33,14448.6,4307.54,005930,74100
2021-10-01,3019.18,983.2,34327.45,14566.7,4357.05,005930,73200
2021-10-05,2962.17,955.37,34315.99,14433.8,4345.72,005930,72200
2021-10-06,2908.31,922.36,34417.98,14501.9,4363.55,005930,71300
2021-10-07,2959.46,953.43,34754.15,14654.0,4399.76,005930,71600
2021-10-08,2956.3,953.11,34746.71,14579.5,4391.36,005930,71500
2021-10-12,2916.38,940.15,34378.08,14465.9,4350.64,005930,69000
2021-10-13,2944.41,953.47,34378.6,14571.6,4363.8,005930,68800
2021-10-14,2988.64,983.43,34911.7,14823.4,4438.23,005930,69400
2021-10-15,3015.06,990.54,35295.48,14897.3,4471.37,005930,70100
2021-10-18,3006.68,993.86,35259.01,15021.8,4486.48,005930,70200
2021-10-19,3029.04,1005.35,35458.37,15129.1,4519.63,005930,70600
2021-10-20,3013.13,1001.62,35609.93,15121.7,4536.19,005930,70300
2021-10-21,3007.33,993.7,35601.96,15215.7,4549.78,005930,70200
2021-10-22,3006.16,995.07,35677.68,15090.2,4544.9,005930,70400
2021-10-25,3020.54,994.31,35743.78,15226.7,4566.48,005930,70200
2021-10-26,3049.08,1011.76,35755.83,15235.7,4574.79,005930,71100
2021-10-27,3025.49,1008.95,35491.48,15235.8,4551.68,005930,70100
2021-10-28,3009.55,1000.13,35729.89,15448.1,4596.42,005930,70700
2021-10-29,2970.68,992.33,35819.59,15498.4,4605.38,005930,69800
2021-08-30,3144.19,1031.84,35399.84,15265.9,4528.79,000660,103500
2021-08-31,3199.27,1038.33,35360.73,15259.2,4522.68,000660,106500
2021-09-01,3207.02,1045.98,35312.53,15309.4,4524.09,000660,108000
2021-09-02,3175.85,1047.19,35443.82,15331.2,4536.95,000660,106500
2021-09-03,3201.06,1053.85,35369.09,15363.5,4535.43,000660,107000
2021-09-06,3203.33,1052.96,35234.545,15368.9,4527.73,000660,106000
2021-09-07,3187.42,1054.43,35100.0,15374.3,4520.03,000660,104500
2021-09-08,3162.99,1037.22,35031.07,15286.6,4514.07,000660,106000
2021-09-09,3114.7,1034.62,34879.38,15248.3,4493.28,000660,103000
2021-09-10,3125.76,1037.91,34607.72,15115.5,4458.58,000660,105000
2021-09-13,3127.86,1026.34,34869.63,15105.6,4468.73,000660,106500
2021-09-14,3148.83,1037.74,34577.57,15037.8,4443.05,000660,107500
2021-09-15,3153.4,1042.79,34814.39,15161.5,4480.7,000660,107500
2021-09-16,3130.09,1039.43,34751.32,15181.9,4473.76,000660,104000
2021-09-17,3140.51,1046.12,34584.88,15044.0,4432.99,000660,107000
2021-09-23,3127.58,1036.26,34766.0,15052.2,4448.98,000660,105500
2021-09-24,3125.24,1037.03,34797.6,15047.7,4455.48,000660,104000
2021-09-27,3133.64,1034.82,34870.16,14970.0,4443.11,000660,104500
2021-09-28,3097.92,1012.51,34299.53,14546.7,4352.63,000660,103500
2021-09-29,3060.27,1001.46,34390.92,14512.4,4359.46,000660,100000
2021-09-30,3068.82,1003.27,33843.33,14448.6,4307.54,000660,103000
2021-10-01,3019.18,983.2,34327.45,14566.7,4357.05,000660,100000
2021-10-05,2962.17,955.37,34315.99,14433.8,4345.72,000660,97900
2021-10-06,2908.31,922.36,34417.98,14501.9,4363.55,000660,96500
2021-10-07,2959.46,953.43,34754.15,14654.0,4399.76,000660,95700
2021-10-08,2956.3,953.11,34746.71,14579.5,4391.36,000660,94000
2021-10-12,2916.38,940.15,34378.08,14465.9,4350.64,000660,91500
2021-10-13,2944.41,953.47,34378.6,14571.6,4363.8,000660,92000
2021-10-14,2988.64,983.43,34911.7,14823.4,4438.23,000660,93800
2021-10-15,3015.06,990.54,35295.48,14897.3,4471.37,000660,98400
2021-10-18,3006.68,993.86,35259.01,15021.8,4486.48,000660,97100
2021-10-19,3029.04,1005.35,35458.37,15129.1,4519.63,000660,97700
2021-10-20,3013.13,1001.62,35609.93,15121.7,4536.19,000660,97900
2021-10-21,3007.33,993.7,35601.96,15215.7,4549.78,000660,96300
2021-10-22,3006.16,995.07,35677.68,15090.2,4544.9,000660,98500
2021-10-25,3020.54,994.31,35743.78,15226.7,4566.48,000660,100000
2021-10-26,3049.08,1011.76,35755.83,15235.7,4574.79,000660,102000
2021-10-27,3025.49,1008.95,35491.48,15235.8,4551.68,000660,101500
2021-10-28,3009.55,1000.13,35729.89,15448.1,4596.42,000660,106500
2021-10-29,2970.68,992.33,35819.59,15498.4,4605.38,000660,103000
2021-08-30,3144.19,1031.84,35399.84,15265.9,4528.79,035420,428000
2021-08-31,3199.27,1038.33,35360.73,15259.2,4522.68,035420,439000
2021-09-01,3207.02,1045.98,35312.53,15309.4,4524.09,035420,445000
2021-09-02,3175.85,1047.19,35443.82,15331.2,4536.95,035420,442500
2021-09-03,3201.06,1053.85,35369.09,15363.5,4535.43,035420,452500
2021-09-06,3203.33,1052.96,35234.545,15368.9,4527.73,035420,454000
2021-09-07,3187.42,1054.43,35100.0,15374.3,4520.03,035420,444500
2021-09-08,3162.99,1037.22,35031.07,15286.6,4514.07,035420,409500
2021-09-09,3114.7,1034.62,34879.38,15248.3,4493.28,035420,399000
2021-09-10,3125.76,1037.91,34607.72,15115.5,4458.58,035420,410000
2021-09-13,3127.86,1026.34,34869.63,15105.6,4468.73,035420,408000
2021-09-14,3148.83,1037.74,34577.57,15037.8,4443.05,035420,402500
2021-09-15,3153.4,1042.79,34814.39,15161.5,4480.7,035420,400500
2021-09-16,3130.09,1039.43,34751.32,15181.9,4473.76,035420,402000
2021-09-17,3140.51,1046.12,34584.88,15044.0,4432.99,035420,403000
2021-09-23,3127.58,1036.26,34766.0,15052.2,4448.98,035420,400000
2021-09-24,3125.24,1037.03,34797.6,15047.7,4455.48,035420,405500
2021-09-27,3133.64,1034.82,34870.16,14970.0,4443.11,035420,403000
2021-09-28,3097.92,1012.51,34299.53,14546.7,4352.63,035420,392500
2021-09-29,3060.27,1001.46,34390.92,14512.4,4359.46,035420,387000
2021-09-30,3068.82,1003.27,33843.33,14448.6,4307.54,035420,388000
2021-10-01,3019.18,983.2,34327.45,14566.7,4357.05,035420,382000
2021-10-05,2962.17,955.37,34315.99,14433.8,4345.72,035420,370500
2021-10-06,2908.31,922.36,34417.98,14501.9,4363.55,035420,373000
2021-10-07,2959.46,953.43,34754.15,14654.0,4399.76,035420,393500
2021-10-08,2956.3,953.11,34746.71,14579.5,4391.36,035420,388500
2021-10-12,2916.38,940.15,34378.08,14465.9,4350.64,035420,372000
2021-10-13,2944.41,953.47,34378.6,14571.6,4363.8,035420,382000
2021-10-14,2988.64,983.43,34911.7,14823.4,4438.23,035420,395000
2021-10-15,3015.06,990.54,35295.48,14897.3,4471.37,035420,393500
2021-10-18,3006.68,993.86,35259.01,15021.8,4486.48,035420,396500
2021-10-19,3029.04,1005.35,35458.37,15129.1,4519.63,035420,407500
2021-10-20,3013.13,1001.62,35609.93,15121.7,4536.19,035420,407500
2021-10-21,3007.33,993.7,35601.96,15215.7,4549.78,035420,410500
2021-10-22,3006.16,995.07,35677.68,15090.2,4544.9,035420,407500
2021-10-25,3020.54,994.31,35743.78,15226.7,4566.48,035420,402500
2021-10-26,3049.08,1011.76,35755.83,15235.7,4574.79,035420,412500
2021-10-27,3025.49,1008.95,35491.48,15235.8,4551.68,035420,414500
2021-10-28,3009.55,1000.13,35729.89,15448.1,4596.42,035420,413000
2021-10-29,2970.68,992.33,35819.59,15498.4,4605.38,035420,407000
2021-08-30,3144.19,1031.84,35399.84,15265.9,4528.79,035720,151500
2021-08-31,3199.27,1038.33,35360.73,15259.2,4522.68,035720,155000
2021-09-01,3207.02,1045.98,35312.53,15309.4,4524.09,035720,154000
2021-09-02,3175.85,1047.19,35443.82,15331.2,4536.95,035720,155000
2021-09-03,3201.06,1053.85,35369.09,15363.5,4535.43,035720,156500
2021-09-06,3203.33,1052.96,35234.545,15368.9,4527.73,035720,155500
2021-09-07,3187.42,1054.43,35100.0,15374.3,4520.03,035720,154000
2021-09-08,3162.99,1037.22,35031.07,15286.6,4514.07,035720,138500
2021-09-09,3114.7,1034.62,34879.38,15248.3,4493.28,035720,128500
2021-09-10,3125.76,1037.91,34607.72,15115.5,4458.58,035720,130000
