weekday,weeknum,kospi,kosdaq,dow,nasdaq,sp500,code,close
0,44,3049.4579271174966,1009.9846537213665,35312.90697080912,15181.134753249758,4471.487424045139,000660,0
1,44,3051.421034424741,1011.2059171621559,35335.175516984695,15139.404704640167,4467.250472005208,000660,0
2,44,3045.007324150038,1007.2132771445713,35317.58119633454,15184.912820264135,4470.496088324653,000660,0
3,44,3050.7362531786557,1013.1850586025924,35345.94692317583,15232.60644014218,4484.213151041667,000660,0
4,44,3044.7360750298685,1009.6363076170568,35384.16368561041,15232.112131692733,4489.107267252604,000660,0
0,44,3049.4579271174966,1009.9846537213665,35312.90697080912,15181.134753249758,4471.487424045139,000660,0
1,44,3051.421034424741,1011.2059171621559,35335.175516984695,15139.404704640167,4467.250472005208,000660,0
2,44,3045.007324150038,1007.2132771445713,35317.58119633454,15184.912820264135,4470.496088324653,000660,0
3,44,3050.7362531786557,1013.1850586025924,35345.94692317583,15232.60644014218,4484.213151041667,000660,0
4,44,3044.7360750298685,1009.6363076170568,35384.16368561041,15232.112131692733,4489.107267252604,000660,0
0,44,3049.4579271174966,1009.9846537213665,35312.90697080912,15181.134753249758,4471.487424045139,035420,0
1,44,3051.421034424741,1011.2059171621559,35335.175516984695,15139.404704640167,4467.250472005208,035420,0
2,44,3045.007324150038,1007.2132771445713,35317.58119633454,15184.912820264135,4470.496088324653,035420,0
3,44,3050.7362531786557,1013.1850586025924,35345.94692317583,15232.60644014218,4484.213151041667,035420,0
4,44,3044.7360750298685,1009.6363076170568,35384.16368561041,15232.112131692733,4489.107267252604,035420,0
0,44,3049.4579271174966,1009.9846537213665,35312.90697080912,15181.134753249758,4471.487424045139,035720,0
1,44,3051.421034424741,1011.2059171621559,35335.175516984695,15139.404704640167,4467.250472005208,035720,0
2,44,3045.007324150038,1007.2132771445713,35317.58119633454,15184.912820264135,4470.496088324653,035720,0
3,44,3050.7362531786557,1013.1850586025924,35345.94692317583,15232.60644014218,4484.213151041667,035720,0
4,44,3044.7360750298685,1009.6363076170568,35384.16368561041,15232.112131692733,4489.107267252604,035720,0
0,44,3049.4579271174966,1009.9846537213665,35312.90697080912,15181.134753249758,4471.487424045139,207940,0
1,44,3051.421034424741,1011.2059171621559,35335.175516984695,15139.404704640167,4467.250472005208,207940,0
2,44,3045.007324150038,1007.2132771445713,35317.58119633454,15184.912820264135,4470.496088324653,207940,0
3,44,3050.7362531786557,1013.1850586025924,35345.94692317583,15232.60644014218,4484.213151041667,207940,0
4,44,3044.7360750298685,1009.6363076170568,35384.16368561041,15232.112131692733,4489.107267252604,207940,0
