iter	Passed	Remaining
0	394	50928
1	793	50759
2	1084	45891
3	1380	43478
4	1673	41835
5	1995	41245
6	2318	40740
7	2627	40064
8	2929	39382
9	3238	38856
10	3526	38148
11	3826	37629
12	4126	37141
13	4416	36596
14	4723	36215
15	5011	35708
16	5301	35239
17	5607	34892
18	5907	34509
19	6188	34037
20	6472	33596
21	6750	33140
22	7060	32844
23	7347	32452
24	7630	32048
25	7899	31597
26	8165	31150
27	8425	30693
28	8708	30330
29	8985	29950
30	9271	29609
31	9547	29240
32	9837	28916
33	10145	28645
34	10412	28262
35	10703	27948
36	10997	27642
37	11298	27353
38	11572	27003
39	11859	26682
40	12125	26322
41	12392	25964
42	12670	25635
43	12937	25286
44	13231	24991
45	13511	24673
46	13812	24392
47	14094	24078
48	14349	23721
49	14616	23386
50	14900	23081
51	15181	22772
52	15490	22504
53	15766	22189
54	16049	21885
55	16322	21568
56	16611	21274
57	16889	20965
58	17170	20662
59	17441	20348
60	17724	20049
61	18023	19767
62	18302	19464
63	18596	19177
64	18850	18850
65	19139	18559
66	19400	18242
67	19676	17940
68	19955	17641
69	20223	17334
70	20511	17044
71	20799	16755
72	21086	16464
73	21348	16155
74	21616	15851
75	21883	15548
76	22160	15253
77	22429	14953
78	22689	14647
79	22979	14362
80	23250	14065
81	23515	13765
82	23788	13470
83	24046	13168
84	24338	12885
85	24593	12582
86	24835	12275
87	25110	11984
88	25380	11692
89	25661	11405
90	25937	11116
91	26220	10830
92	26482	10535
93	26774	10254
94	27045	9963
95	27322	9676
96	27593	9387
97	27858	9096
98	28127	8807
99	28397	8519
100	28693	8238
101	28963	7950
102	29210	7657
103	29487	7371
104	29738	7080
105	30008	6794
106	30293	6511
107	30581	6229
108	30854	5944
109	31131	5660
110	31395	5373
111	31674	5090
112	31936	4804
113	32224	4522
114	32491	4237
115	32813	3960
116	33121	3680
117	33416	3398
118	33662	3111
119	33941	2828
120	34240	2546
121	34525	2263
122	34786	1979
123	35116	1699
124	35423	1416
125	35773	1135
126	36167	854
127	36481	570
128	36734	284
129	37030	0
